?uad_sigla;esc_codigo;esc_nome
CL;99236;EMEF - MODESTO SCAGLIUSI
CL;99350;EMEF - 22 DE MARCO
CL;99686;EMEF - RICARDO VITIELLO, PROF.
CL;200131;CIEJA - CENTRO INT ED JOVENS E ADULTOS - CAMPO LIMPO
CS;12688;EMEF - ULYSSES DA SYLVEIRA GUIMARAES
CS;16501;EMEF - FLORESTAN FERNANDES, PROF.
CS;18546;EMEF - DAMIAO, FREI
CS;19194;EMEF - PEDRO GERALDO SCHUNCK
CS;19228;EMEF - JOSE PEGORARO, PE.
CS;19243;EMEF - MARINA MELANDER COUTINHO, PROFA
CS;19254;EMEF - AYRTON OLIVEIRA SAMPAIO, PROF.
CS;19263;CEU EMEF - CIDADE DUTRA
CS;19276;CEU EMEF - TRES LAGOS
CS;19291;EMEF - VARGEM GRANDE
CS;19305;EMEF - JOAO DA SILVA
CS;19313;CEU EMEF - MANOEL VIEIRA DE QUEIROZ FILHO
CS;19321;EMEF - LOURIVAL BRANDAO DOS SANTOS
CS;19336;CEU EMEF - VILA RUBI
CS;19406;EMEF - CONSTELACAO DO INDIO
CS;19436;EMEF - CARLOS FRANCISCO GASPAR
CS;19439;EMEF - ALDINA ANALIA AGOSTINHA TADDEO CONDE, PROFA
CS;19440;EMEF - GENY MARIA MUNIZ ALMEIDA KLEIN PUSSINELLI, PROFA.
CS;19474;EMEF - VARGEM GRANDE II
CS;19496;EMEF - PLINIO MARCOS
CS;19672;EMEF - JARDIM SIPRAMAR
CS;19673;EMEF - LIA MARIA DOS REIS DE JESUS SOUZA SILVA
CS;19674;CEU EMEF - JARDIM ELIANA
CS;19718;EMEF - BELKICE MANHAES REIS, PROFA.
CS;19719;EMEF - CLARINA AMARAL GURGEL, PROFA.
CS;93297;EMEF - PLACIDO DE CASTRO
CS;93301;EMEF - HEITOR DE ANDRADE
CS;93319;EMEF - ALMEIDA JUNIOR, PROF.
CS;93327;EMEF - AFRANIO DE MELLO FRANCO, DR.
CS;93335;EMEF - JOAO DE DEUS CARDOSO DE MELLO
CS;93343;EMEF - OLEGARIO MARIANO
CS;93351;EMEF - MILTON FERREIRA DE ALBUQUERQUE, PROF.
CS;93360;EMEF - ELIZA RACHEL MACEDO DE SOUZA, PROFA.
CS;93378;EMEF - MANOEL DE ABREU, DR.
CS;93386;EMEF - JOAQUIM BENTO ALVES DE LIMA NETO
CS;93394;EMEF - TEODOMIRO TOLEDO PIZA, DES.
CS;93408;EMEF - PAULO SETUBAL
CS;93416;EMEF - JOSE AMADEI, ENG.
CS;93424;EMEF - MIGUEL VIEIRA FERREIRA, DR.
CS;99791;EMEF - PLINIO SALGADO
CS;200207;CIEJA - LELIA GONZALEZ
FO;299;EMEF - ROBERTO PATRICIO, PROF.
FO;19341;EMEF - JARDIM GUARANI - JOSE ALFREDO APOLINARIO, PROF.
FO;19349;EMEF - JARDIM DAMASCENO I
FO;19350;EMEF - JOSE HERMINIO RODRIGUES, CEL. PM
FO;19363;CEU EMEF - JARDIM PAULISTANO
FO;19394;EMEF - CAIRA ALAYDE ALVARENGA MEDEA, PROFA
FO;19395;EMEF - NEIR AUGUSTO LOPES, PROF
FO;19402;EMEF - ZILKA SALABERRY DE CARVALHO
FO;19405;EMEF - GILBERTO DUPAS, PROF
FO;19453;EMEBS - MARIO PEREIRA BICUDO, PROF.
FO;19458;EMEF - MARIA APARECIDA RODRIGUES CINTRA, PROFA.
FO;19462;EMEF - LILIAN MASO, PROFA
FO;19704;EMEF - PRIMO PASCOLI MELARE, PROF.
FO;19720;EMEF - OSMAR BASTOS CONCEICAO, PROF.
