?uad_sigla;esc_codigo;esc_nome
PJ;19347;EMEF - JARDIM DA CONQUISTA
PJ;19351;EMEF - MARILI DIAS, PROFA
PJ;19389;CEU EMEF - PARQUE ANHANGUERA
PJ;19390;CEU EMEF - JAGUARE
PJ;19412;EMEF - BADRA
PJ;19413;EMEF - ELIANE BENUTE LESSA AYRES GONCALVES, PROFESSORA- NANY BENUTE
PJ;19414;EMEF - MOISES ELIAS DE SOUZA, TTE.
PJ;19415;EMEF - ALICE MEIRELLES REIS, PROFA
PJ;19445;EMEF - ROGE FERREIRA, DEP.
PJ;19463;EMEF - ESTACAO JARAGUA
PJ;19487;EMEF - CHACARA TURISTICA
PJ;19607;EMEF - ANTONIO RODRIGUES DE CAMPOS, PROF.
PJ;19732;EMEF - REYNALDO PORCHAT, PROF.
PJ;19733;EMEF - VIRGINIA VALERIA APARECIDA DE ALMEIDA FREITAS
PJ;92835;EMEF - ESPIRIDIAO ROSAS, MAL.
PJ;93106;EMEF - DILERMANDO DIAS DOS SANTOS
PJ;93114;EMEF - ANIBAL FREIRE, MIN.
PJ;93122;EMEF - JOSE MARIA PINTO DUARTE, TTE.
PJ;94391;EMEF - MARIO KOSEL FILHO
PJ;94404;EMEF - MONTEIRO LOBATO
PJ;94412;EMEF - GABRIEL PRESTES, PROF.
PJ;94421;EMEF - LIBERATO BITTENCOURT, GEN.
PJ;94439;EMEF - LEOPOLDINA, IMP.
PJ;94447;EMEF - RENATO ANTONIO CHECCHIA, PROF.
PJ;94455;EMEF - VICENTE DE PAULO DALE COUTINHO, GEN.
PJ;94463;EMEF - LEONEL FRANCA, PE.
PJ;94471;EMEF - LUIZ DAVID SOBRINHO, PROF.
PJ;94480;EMEF - JULIO DE OLIVEIRA
PJ;94498;EMEF - CANDIDO PORTINARI
PJ;94501;EMEF - PAULO PRADO
PJ;94510;EMEF - HENRIQUE RAYMUNDO DYOTT FONTENELLE, BRIG.
PJ;94528;EMEF - HENRIQUE GEISEL, GEN.
PJ;94536;EMEF - JAIRO RAMOS
PJ;94544;EMEF - RUI BLOEM
PJ;94552;EMEF - AMADEU MENDES, PROF.
PJ;94561;EMEF - EUCLIDES CUSTODIO DA SILVEIRA, DES.
PJ;94579;EMEF - JOSE FERRAZ DE CAMPOS, PROF.
PJ;94587;EMEF - GABRIEL SYLVESTRE TEIXEIRA DE CARVALHO, PROF.
PJ;94595;EMEF - SILVIO PORTUGAL, DES.
PJ;94609;EMEFM - ANTONIO ALVES VERISSIMO
PJ;200044;CIEJA - PERUS I
SA;264;EMEF - SYLVIO HECK, ALM.
SA;418;EMEF - JOAO DE SOUZA FERRAZ, PROF.
SA;10111;EMEF - MARIO SCHONBERG, PROF.
SA;10120;EMEF - CARLOS AUGUSTO DE QUEIROZ ROCHA
SA;10138;EMEF - ELZA MAIA COSTA FREIRE, PROFA.
SA;15423;EMEF - PRESTES MAIA
SA;19196;EMEF - LILIANE VERZINI SILVA, PROFA
SA;19257;EMEF - ALDO DA TOFORI, PE
SA;19260;CEU EMEF - PAULO GONCALO DOS SANTOS, PROF.
SA;19373;CEU EMEF - JOSE REZENDE, PROF.
SA;19419;EMEF - ANA MARIA ALVES BENETTI, PROFA
SA;19420;EMEF - MARIA LUCIA DOS SANTOS, PROFA.
SA;19465;EMEF - AMELIA RODRIGUES DE OLIVEIRA, PROFA
SA;19734;EMEF - MANUEL BORBA GATO
SA;19735;EMEF - JOAO ERNESTO DE SOUZA CAMPOS, PROF.
SA;93157;EMEF - CHIQUINHA RODRIGUES
SA;93173;EMEF - JOAQUIM CANDIDO DE AZEVEDO MARQUES, DES.
SA;93181;EMEFM - LINNEU PRESTES, PROF.
SA;93190;EMEF - CARLOS DE ANDRADE RIZZINI
SA;93203;EMEF - LAERTE RAMOS DE CARVALHO, PROF.
SA;93211;EMEF - JOAO GUALBERTO DO AMARAL CARVALHO
SA;93220;EMEF - ANTONIO CARLOS DE ABREU SODRE, DR.
SA;93238;EMEF - ANTENOR NASCENTES
SA;93246;EMEF - MANOEL CARLOS DE FIGUEIREDO FERRAZ, DES.
SA;93254;EMEF - JOAO SUSSUMU HIRATA, DEP.
SA;93262;EMEF - ISABEL VIEIRA FERREIRA, PROFA.
SA;93271;EMEF - TIRADENTES, ALF.
SA;93289;EMEF - PEREIRA CARNEIRO, CDE.
SA;95206;EMEF - CALOGERAS, MIN.
SA;95214;EMEF - BERNARDO O HIGGINS
SA;95222;EMEF - ARY PARREIRAS, ALM.
SA;95231;EMEF - MARINA VIEIRA DE CARVALHO MESQUITA
SA;95249;EMEF - HABIB CARLOS KYRILLOS, DR.
SA;95257;EMEF - ANTONIO DE SAMPAIO DORIA, PROF.
SA;95265;EMEF - ARMANDO ARRUDA PEREIRA
SA;95273;EMEF - CACILDA BECKER
SA;95281;EMEF - NELSON PIMENTEL QUEIROZ, PROF.
SA;99180;EMEBS - ANNE SULLIVAN
SA;200115;CIEJA - FRANCISCO HERNANI ALVERNE FACUNDO LEITE, PROF
SM;892;EMEF - HENRIQUE SOUZA FILHO - HENFIL
SM;12874;EMEF - BENEDITO DE JESUS BATISTA LAURINDO - PE BATISTA
SM;13803;EMEF - JULIO DE GRAMMONT
SM;16519;EMEFM - RUBENS PAIVA
SM;18511;EMEF - CARLOS CORREA MASCARO, PROF.
SM;19216;EMEF - THEREZA MACIEL DE PAULA PROFA.
SM;19221;EMEF - JARDIM DAS LARANJEIRAS
SM;19223;EMEF - MARIA APARECIDA VILASBOAS, PROFA.
SM;19232;EMEF - FAZENDA DA JUTA
SM;19244;EMEF - GIUSEPPE TAVOLARO, PROF
SM;19274;CEU EMEF - CANDIDA DORA PINO PRETINI, PROFA
SM;19366;CEU EMEF - TATIANA BELINKY
SM;19391;CEU EMEF - ALTO ALEGRE
SM;19407;EMEF - VIRGINIA LORISA ZEITOUNIAN CAMARGO, PROFA
SM;19408;EMEF - PARQUE BOA ESPERANCA II
SM;19425;EMEF - MARTIN LUTHER KING JR
SM;19454;EMEF - BARTOLOMEU CAMPOS DE QUEIROS
SM;19460;EMEF - JOSE CARLOS NICOLETO - ZITO, PROFESSOR
SM;19509;EMEF - ACLAMADO
SM;19585;EMEF - WLADIMIR DE TOLEDO PIZA,PREF.
SM;19615;EMEF - DIRCE GENESIO DOS SANTOS, PROFA
SM;19640;CEU EMEF - MARIA LISBOA DA SILVA, PROFA
SM;19736;EMEF - ORLANDO SILVA
SM;19737;EMEF - JULIETA TERLIZZI BINDO, PROFA.
SM;92622;EMEF - ARLINDO CAETANO FILHO, PROF.
SM;93556;EMEF - FELICIO PAGLIUSO, PROF.
SM;93564;EMEF - JOAQUIM OSORIO DUQUE ESTRADA
SM;93572;EMEF - COELHO NETO
SM;93581;EMEF - PLINIO DE QUEIROZ
SM;93599;EMEF - JOSE MARIA WHITAKER
SM;93602;EMEF - RODRIGO MELLO FRANCO DE ANDRADE
SM;93611;EMEF - RIVADAVIA MARQUES JUNIOR, PROF.
SM;95168;EMEF - ACHILLES DE OLIVEIRA RIBEIRO, DES.
SM;95176;EMEF - JOSE LINS DO REGO
SM;95443;EMEF - HENRIQUE MELEGA, PROF.
SM;95451;EMEF - TAUNAY, VISC. DE
SM;95460;EMEF - EMILIO RIBAS
SM;95478;EMEF - FLORES DA CUNHA, DEP.
SM;95494;EMEF - ARMANDO DE SALLES OLIVEIRA
SM;95508;EMEF - BRASILIO MACHADO NETO
SM;95516;EMEF - HERALDO BARBUY
SM;95524;EMEF - VINICIUS DE MORAES
SM;95532;EMEF - RODRIGUES DE CARVALHO
SM;95541;EMEF - OLIVAL COSTA
SM;95559;EMEF - CLAUDIO MANOEL DA COSTA
SM;95567;EMEF - ALCEU AMOROSO LIMA
SM;95575;EMEF - CIDADE DE OSAKA
SM;95583;EMEF - GREGORIO WESTRUPP, PE.
SM;95591;EMEF - IVETE VARGAS, DEP.
SM;95605;EMEF - VILANOVA ARTIGAS, ARQ.
SM;95613;EMEF - PAULO DUARTE
SM;99121;CEU EMEF - DOMINGOS RUBINO, PROF.
SM;99325;EMEF - BENEDITO MONTENEGRO, PROF.
SM;99660;EMEF - AMELIA, IMP. DA.
SM;99792;EMEF - FORTE DOS REIS MAGOS
SM;200043;CIEJA - CENTRO INT ED JOVENS E ADULTOS - IGUATEMI I
SM;200050;CIEJA - CENTRO INT ED JOVENS E ADULTOS - VILA PRUDENTE/SAPOPEMBA
SM;200140;CIEJA - MARLUCIA GONCALVES DE ABREU, PROFESSORA
