1866403;200771
1866411;195353
1864755;198810
1864765;195468
1864772;196698
1864783;195847
1864794;196703
1864808;200099
1864816;200100
1864826;195857
1864838;204886
1864847;204889
1864857;200110
1864865;200113
1864880;205460
1864889;205463
1864907;194223
1864919;204495
1864930;191913
1864954;203697
1864990;203699
1865011;194233
1865022;194237
1865032;194242
1865041;193679
1865050;203709
1865074;192763
1865083;192770
1865093;192773
1865102;205934
1865113;199532
1865121;199536
1865131;205946
1865139;199547
1865150;196712
1865158;196720
1865168;192841
1865188;197662
1865196;197666
1865205;197674
1865213;201843
1865229;191322
1865239;191324
1865249;201847
1865259;196163
1865267;196168
1865275;195746
1865283;191335
1865295;191339
1865303;192733
1865311;197967
1865319;201852
1865327;203462
1865339;197971
1865350;203470
1865360;203472
1865371;197974
1865381;202821
1865393;195750
1865403;197981
1865424;195751
1865439;197984
1865445;195756
1865455;192293
1865475;204227
1865484;204231
1865493;204234
1865501;192300
1865510;192306
1865520;201863
1865539;198770
1865547;198772
1865557;197898
1865565;197901
1865573;201644
1865584;201648
1865594;204109
1865604;204112
1865614;197902
1865624;199102
1865634;195910
1865644;197908
1865652;199549
1865660;204993
1865668;195976
1865678;197909
1865686;197912
1865694;195099
1865702;204117
1865711;200151
1865721;199118
1865729;196620
1865739;196622
1865750;204124
1865761;196625
1865773;195985
1865792;196328
1865802;196000
1865814;196335
1865828;204503
1865839;196339
1865848;204504
1865855;196342
1865866;199342
1865878;195917
1865886;196346
1865894;196348
1865903;205043
1865911;196411
1865919;195923
1865929;196006
1865938;201876
1865946;196011
1865955;196421
1865963;196424
1865974;196426
1865983;196429
1865994;191986
1866004;200161
1866012;195927
1866023;204079
1866034;195929
1866042;198847
1866052;204580
1866065;198648
1866076;195930
1866088;198860
1866102;205687
1866113;204599
1866125;197496
1866136;204607
1866150;198864
1866162;191995
1866181;202168
1866192;197508
1866200;192884
1866210;197513
1866221;192887
1866233;192890
1866249;202783
1866261;192892
1866270;199445
1866282;202788
1866292;195887
1866300;202797
1866308;195891
1866321;195894
1866333;195896
1866345;195334
1866353;195342
1866361;195350
